,name,position,squad,age,club,birth_year,matches_played,starts,minutes_played,min_played_per_90,goals,assists,non_penalty_goals,pk_goals,pk_attemps,yellow_cards,red_cards
658,Miki Yamane,"DF,MF",jp Japan,28-359,1.jp Kawa Frontale,1993,1,1,61,0.7,0,0,0,0,0,1,0
659,Jawad El Yamiq,DF,ma Morocco,30-290,1.es Valladolid,1992,5,2,244,2.7,0,0,0,0,0,0,0
660,Taha Yassine Khenissi,FW,tn Tunisia,30-344,1.kw Kuwait SC,1992,2,0,29,0.3,0,0,0,0,0,1,0
661,DeAndre Yedlin,DF,us United States,29-160,1.us Inter Miami,1993,2,0,33,0.4,0,0,0,0,0,0,0
662,Maya Yoshida,DF,jp Japan,34-114,1.de Schalke 04,1988,4,4,390,4.3,0,1,0,0,0,1,0
663,Kim Young-gwon,DF,kr Korea Republic,32-292,1.kr Ulsan Hyundai,1990,4,4,350,3.9,1,0,1,0,0,1,0
664,Cho Yumin,FW,kr Korea Republic,26-029,2.kr Daejeon Citizen FC,1996,1,0,1,0.0,0,0,0,0,0,0,0
665,Denis Zakaria,MF,ch Switzerland,26-026,1.eng Chelsea,1996,2,0,59,0.7,0,0,0,0,0,0,0
666,Nicola Zalewski,MF,pl Poland,20-327,1.it Roma,2002,2,1,65,0.7,0,0,0,0,0,0,0
667,Andre-Frank Zambo Anguissa,MF,cm Cameroon,27-030,1.it Napoli,1995,3,3,260,2.9,0,1,0,0,0,0,0
668,Álvaro Zamora,MF,cr Costa Rica,20-282,1.cr Deportivo Saprissa,2002,1,0,30,0.3,0,0,0,0,0,0,0
669,Piotr Zieliński,"MF,FW",pl Poland,28-210,1.it Napoli,1994,4,4,328,3.6,1,0,1,0,0,0,0
670,Walker Zimmerman,DF,us United States,29-211,1.us Nashville,1993,4,3,279,3.1,0,0,0,0,0,0,0
671,Andrija Živković,DF,rs Serbia,26-158,1.gr PAOK,1996,3,3,210,2.3,0,2,0,0,0,0,0
672,Hakim Ziyech,"FW,MF",ma Morocco,29-272,1.eng Chelsea,1993,6,6,545,6.1,1,1,1,0,0,0,0
673,Filip Đuričić,"MF,FW",rs Serbia,30-320,1.it Sampdoria,1992,2,0,14,0.2,0,0,0,0,0,0,0
